datum	Dela prost dan	Šolske Počitnice	pov	padavine	sneg
2012-11-21			8.5	0.0	
2012-11-22			9.5	0.0	
2012-11-23			9.5	4.4	d
2012-11-24			8.3		
2012-11-25			11.0		
2012-11-26			12.1	0.3	d
2012-11-27			12.6	0.2	d
2012-11-28			11.7	32.9	d
2012-11-29			7.8	17.6	d
2012-11-30			3.3	4.4	d
2012-12-01			3.4	1.3	d
2012-12-02			1.4	0.0	
2012-12-03			1.1	10.0	s
2012-12-04			-0.2		
2012-12-05			0.9	19.9	s
2012-12-06			-0.1		
2012-12-07			-1.1	0.3	s
2012-12-08			-2.5	14.0	s
2012-12-09			-5.1	9.5	s
2012-12-10			-5.5		
2012-12-11			-5.5		
2012-12-12			-6.2		
2012-12-13			-5.4	0.0	
2012-12-14			0.9	0.1	s
2012-12-15			3.1	7.1	d
2012-12-16			3.3	14.1	d
2012-12-17			2.8	0.1	d
2012-12-18			3.3		
2012-12-19			1.5		
2012-12-20			-1.2		
2012-12-21			0.6		
2012-12-22			1.4	0.5	s
2012-12-23			3.1		
2012-12-24		1	7.6		
2012-12-25	1	1	9.2	0.1	d
2012-12-26	1	1	7.8	0.3	d
2012-12-27		1	4.1	18.9	d
2012-12-28		1	4.9	1.3	d
2012-12-29		1	-0.3		
2012-12-30		1	-1.8		
2012-12-31		1	-1.3	0.0	
